constructorStandingsId,year,round,constructorId,points,position,positionText,wins
162,2010,14,force_india,58,6,6,0
163,2010,14,williams,47,7,7,0
164,2010,14,sauber,27,8,8,0
165,2010,14,toro_rosso,10,9,9,0
166,2010,14,lotus_racing,0,10,10,0
167,2010,14,hrt,0,11,11,0
168,2010,14,virgin,0,12,12,0
169,2010,15,red_bull,383,1,1,6
170,2010,15,mclaren,359,2,2,5
171,2010,15,ferrari,319,3,3,4
172,2010,15,mercedes,168,4,4,0
173,2010,15,renault,133,5,5,0
174,2010,15,force_india,60,6,6,0
175,2010,15,williams,56,7,7,0
176,2010,15,sauber,27,8,8,0
177,2010,15,toro_rosso,10,9,9,0
178,2010,15,lotus_racing,0,10,10,0
179,2010,15,hrt,0,11,11,0
180,2010,15,virgin,0,12,12,0
181,2010,16,red_bull,426,1,1,7
182,2010,16,mclaren,381,2,2,5
183,2010,16,ferrari,334,3,3,4
184,2010,16,mercedes,176,4,4,0
185,2010,16,renault,133,5,5,0
186,2010,16,force_india,60,6,6,0
187,2010,16,williams,58,7,7,0
188,2010,16,sauber,37,8,8,0
189,2010,16,toro_rosso,11,9,9,0
190,2010,16,lotus_racing,0,10,10,0
191,2010,16,hrt,0,11,11,0
192,2010,16,virgin,0,12,12,0
193,2010,17,red_bull,426,1,1,7
194,2010,17,mclaren,399,2,2,5
195,2010,17,ferrari,374,3,3,5
196,2010,17,mercedes,188,4,4,0
197,2010,17,renault,143,5,5,0
198,2010,17,force_india,68,6,6,0
199,2010,17,williams,65,7,7,0
200,2010,17,sauber,43,8,8,0
201,2010,17,toro_rosso,11,9,9,0
202,2010,17,lotus_racing,0,10,10,0
203,2010,17,hrt,0,11,11,0
204,2010,17,virgin,0,12,12,0
205,2010,18,red_bull,469,1,1,8
206,2010,18,mclaren,421,2,2,5
207,2010,18,ferrari,389,3,3,5
208,2010,18,mercedes,202,4,4,0
209,2010,18,renault,145,5,5,0
210,2010,18,williams,69,6,6,0
211,2010,18,force_india,68,7,7,0
212,2010,18,sauber,44,8,8,0
213,2010,18,toro_rosso,11,9,9,0
214,2010,18,lotus_racing,0,10,10,0
215,2010,18,hrt,0,11,11,0
216,2010,18,virgin,0,12,12,0
217,2010,19,red_bull,498,1,1,9
218,2010,19,mclaren,454,2,2,5
219,2010,19,ferrari,396,3,3,5
220,2010,19,mercedes,214,4,4,0
221,2010,19,renault,163,5,5,0
222,2010,19,williams,69,6,6,0
223,2010,19,force_india,68,7,7,0
224,2010,19,sauber,44,8,8,0
225,2010,19,toro_rosso,13,9,9,0
226,2010,19,lotus_racing,0,10,10,0
227,2010,19,hrt,0,11,11,0
228,2010,19,virgin,0,12,12,0
229,2011,1,red_bull,35,1,1,1
230,2011,1,mclaren,26,2,2,0
231,2011,1,ferrari,18,3,3,0
232,2011,1,renault,15,4,4,0
233,2011,1,toro_rosso,4,5,5,0
234,2011,1,force_india,3,6,6,0
235,2011,1,lotus_racing,0,7,7,0
236,2011,1,virgin,0,8,8,0
237,2011,1,williams,0,9,9,0
238,2011,1,mercedes,0,10,10,0
239,2011,2,red_bull,72,1,1,2
240,2011,2,mclaren,48,2,2,0
241,2011,2,ferrari,36,3,3,0
242,2011,2,renault,30,4,4,0
243,2011,2,sauber,6,5,5,0
244,2011,2,toro_rosso,4,6,6,0
245,2011,2,force_india,4,7,7,0
246,2011,2,mercedes,2,8,8,0
247,2011,2,lotus_racing,0,9,9,0
248,2011,2,virgin,0,10,10,0
249,2011,2,williams,0,11,11,0
250,2011,2,hrt,0,12,12,0
251,2011,3,red_bull,105,1,1,2
252,2011,3,mclaren,85,2,2,1
253,2011,3,ferrari,50,3,3,0
254,2011,3,renault,32,4,4,0
255,2011,3,mercedes,16,5,5,0
256,2011,3,sauber,7,6,6,0
257,2011,3,toro_rosso,4,7,7,0
258,2011,3,force_india,4,8,8,0
259,2011,3,lotus_racing,0,9,9,0
260,2011,3,williams,0,10,10,0
261,2011,3,virgin,0,11,11,0
262,2011,3,hrt,0,12,12,0
263,2011,4,red_bull,148,1,1,3
264,2011,4,mclaren,105,2,2,1
265,2011,4,ferrari,65,3,3,0
266,2011,4,renault,42,4,4,0
267,2011,4,mercedes,26,5,5,0
268,2011,4,sauber,8,6,6,0
269,2011,4,toro_rosso,6,7,7,0
270,2011,4,force_india,4,8,8,0
271,2011,4,lotus_racing,0,9,9,0
272,2011,4,williams,0,10,10,0
273,2011,4,virgin,0,11,11,0
274,2011,4,hrt,0,12,12,0
275,2011,5,red_bull,185,1,1,4
276,2011,5,mclaren,138,2,2,1
277,2011,5,ferrari,75,3,3,0
278,2011,5,renault,46,4,4,0
279,2011,5,mercedes,40,5,5,0
280,2011,5,sauber,11,6,6,0
281,2011,5,toro_rosso,6,7,7,0
282,2011,5,force_india,4,8,8,0
283,2011,5,williams,0,9,9,0
284,2011,5,lotus_racing,0,10,10,0
285,2011,5,virgin,0,11,11,0
286,2011,5,hrt,0,12,12,0
287,2011,6,red_bull,222,1,1,5
288,2011,6,mclaren,161,2,2,1
289,2011,6,ferrari,93,3,3,0
290,2011,6,renault,50,4,4,0
291,2011,6,mercedes,40,5,5,0
292,2011,6,sauber,21,6,6,0
293,2011,6,force_india,10,7,7,0
294,2011,6,toro_rosso,7,8,8,0
295,2011,6,williams,2,9,9,0
296,2011,6,lotus_racing,0,10,10,0
297,2011,6,virgin,0,11,11,0
298,2011,6,hrt,0,12,12,0
299,2011,7,red_bull,255,1,1,5
300,2011,7,mclaren,186,2,2,2
301,2011,7,ferrari,101,3,3,0
302,2011,7,renault,60,4,4,0
303,2011,7,mercedes,52,5,5,0
304,2011,7,sauber,27,6,6,0
305,2011,7,toro_rosso,12,7,7,0
306,2011,7,force_india,10,8,8,0
307,2011,7,williams,4,9,9,0
308,2011,7,lotus_racing,0,10,10,0
309,2011,7,hrt,0,11,11,0
310,2011,7,virgin,0,12,12,0
311,2011,8,red_bull,295,1,1,6
312,2011,8,mclaren,206,2,2,2
313,2011,8,ferrari,129,3,3,0
314,2011,8,renault,61,4,4,0
315,2011,8,mercedes,58,5,5,0
316,2011,8,sauber,27,6,6,0
317,2011,8,toro_rosso,16,7,7,0
318,2011,8,force_india,12,8,8,0
319,2011,8,williams,4,9,9,0
320,2011,8,lotus_racing,0,10,10,0
321,2011,8,hrt,0,11,11,0
322,2011,8,virgin,0,12,12,0
323,2011,9,red_bull,328,1,1,6
324,2011,9,mclaren,218,2,2,2
325,2011,9,ferrari,164,3,3,1
326,2011,9,mercedes,68,4,4,0
327,2011,9,renault,65,5,5,0
328,2011,9,sauber,33,6,6,0
329,2011,9,toro_rosso,17,7,7,0
330,2011,9,force_india,12,8,8,0
331,2011,9,williams,4,9,9,0
332,2011,9,lotus_racing,0,10,10,0
333,2011,9,hrt,0,11,11,0
334,2011,9,virgin,0,12,12,0
335,2011,10,red_bull,355,1,1,6
336,2011,10,mclaren,243,2,2,3
337,2011,10,ferrari,192,3,3,1
338,2011,10,mercedes,78,4,4,0
339,2011,10,renault,66,5,5,0
340,2011,10,sauber,35,6,6,0
341,2011,10,force_india,20,7,7,0
342,2011,10,toro_rosso,17,8,8,0
343,2011,10,williams,4,9,9,0
344,2011,10,lotus_racing,0,10,10,0
345,2011,10,hrt,0,11,11,0
346,2011,10,virgin,0,12,12,0
347,2011,11,red_bull,383,1,1,6
348,2011,11,mclaren,280,2,2,4
349,2011,11,ferrari,215,3,3,1
350,2011,11,mercedes,80,4,4,0
351,2011,11,renault,66,5,5,0
352,2011,11,sauber,35,6,6,0
353,2011,11,force_india,26,7,7,0
354,2011,11,toro_rosso,22,8,8,0
355,2011,11,williams,4,9,9,0
356,2011,11,lotus_racing,0,10,10,0
357,2011,11,hrt,0,11,11,0
358,2011,11,virgin,0,12,12,0
359,2011,12,red_bull,426,1,1,7
360,2011,12,mclaren,295,2,2,4
361,2011,12,ferrari,231,3,3,1
362,2011,12,mercedes,98,4,4,0
363,2011,12,renault,68,5,5,0
364,2011,12,sauber,35,6,6,0
365,2011,12,force_india,32,7,7,0
366,2011,12,toro_rosso,22,8,8,0
367,2011,12,williams,5,9,9,0
368,2011,12,lotus_racing,0,10,10,0
369,2011,12,hrt,0,11,11,0
370,2011,12,virgin,0,12,12,0
371,2011,13,red_bull,451,1,1,8
372,2011,13,mclaren,325,2,2,4
373,2011,13,ferrari,254,3,3,1
374,2011,13,mercedes,108,4,4,0
375,2011,13,renault,70,5,5,0
376,2011,13,force_india,36,6,6,0
377,2011,13,sauber,35,7,7,0
378,2011,13,toro_rosso,29,8,8,0
379,2011,13,williams,5,9,9,0
380,2011,13,lotus_racing,0,10,10,0
381,2011,13,hrt,0,11,11,0
382,2011,13,virgin,0,12,12,0
383,2011,14,red_bull,491,1,1,9
384,2011,14,mclaren,353,2,2,4
385,2011,14,ferrari,268,3,3,1
386,2011,14,mercedes,114,4,4,0
387,2011,14,renault,70,5,5,0
388,2011,14,force_india,48,6,6,0
389,2011,14,sauber,36,7,7,0
390,2011,14,toro_rosso,29,8,8,0
391,2011,14,williams,5,9,9,0
392,2011,14,lotus_racing,0,10,10,0
393,2011,14,hrt,0,11,11,0
394,2011,14,virgin,0,12,12,0
395,2011,15,red_bull,518,1,1,9
396,2011,15,mclaren,388,2,2,5
397,2011,15,ferrari,292,3,3,1
398,2011,15,mercedes,123,4,4,0
399,2011,15,renault,72,5,5,0
400,2011,15,force_india,48,6,6,0
401,2011,15,sauber,40,7,7,0
402,2011,15,toro_rosso,29,8,8,0
403,2011,15,williams,5,9,9,0
404,2011,15,lotus_racing,0,10,10,0
405,2011,15,hrt,0,11,11,0
406,2011,15,virgin,0,12,12,0
407,2011,16,red_bull,558,1,1,10
408,2011,16,mclaren,418,2,2,5
409,2011,16,ferrari,310,3,3,1
410,2011,16,mercedes,127,4,4,0
411,2011,16,renault,72,5,5,0
412,2011,16,force_india,49,6,6,0
413,2011,16,sauber,40,7,7,0
414,2011,16,toro_rosso,37,8,8,0
415,2011,16,williams,5,9,9,0
416,2011,16,lotus_racing,0,10,10,0
417,2011,16,hrt,0,11,11,0
418,2011,16,virgin,0,12,12,0
419,2011,17,red_bull,595,1,1,11
420,2011,17,mclaren,442,2,2,5
421,2011,17,ferrari,325,3,3,1
422,2011,17,mercedes,145,4,4,0
423,2011,17,renault,72,5,5,0
424,2011,17,force_india,51,6,6,0
425,2011,17,sauber,41,7,7,0
426,2011,17,toro_rosso,41,8,8,0
427,2011,17,williams,5,9,9,0
428,2011,17,lotus_racing,0,10,10,0
429,2011,17,hrt,0,11,11,0
430,2011,17,virgin,0,12,12,0
431,2011,18,red_bull,607,1,1,11
432,2011,18,mclaren,482,2,2,6
433,2011,18,ferrari,353,3,3,1
434,2011,18,mercedes,159,4,4,0
435,2011,18,renault,72,5,5,0
436,2011,18,force_india,57,6,6,0
437,2011,18,sauber,42,7,7,0
438,2011,18,toro_rosso,41,8,8,0
439,2011,18,williams,5,9,9,0
440,2011,18,lotus_racing,0,10,10,0
441,2011,18,hrt,0,11,11,0
442,2011,18,virgin,0,12,12,0
443,2011,19,red_bull,650,1,1,12
444,2011,19,mclaren,497,2,2,6
445,2011,19,ferrari,375,3,3,1
446,2011,19,mercedes,165,4,4,0
447,2011,19,renault,73,5,5,0
448,2011,19,force_india,69,6,6,0
449,2011,19,sauber,44,7,7,0
450,2011,19,toro_rosso,41,8,8,0
451,2011,19,williams,5,9,9,0
452,2011,19,lotus_racing,0,10,10,0
453,2011,19,hrt,0,11,11,0
454,2011,19,virgin,0,12,12,0
455,2012,1,mclaren,40,1,1,1
456,2012,1,red_bull,30,2,2,0
457,2012,1,sauber,12,3,3,0
458,2012,1,ferrari,10,4,4,0
459,2012,1,lotus_f1,6,5,5,0
460,2012,1,toro_rosso,2,6,6,0
461,2012,1,force_india,1,7,7,0
462,2012,1,mercedes,0,8,8,0
463,2012,1,williams,0,9,9,0
464,2012,1,marussia,0,10,10,0
465,2012,1,caterham,0,11,11,0
466,2012,2,mclaren,55,1,1,1
467,2012,2,red_bull,42,2,2,0
468,2012,2,ferrari,35,3,3,1
469,2012,2,sauber,30,4,4,0
470,2012,2,lotus_f1,16,5,5,0
471,2012,2,force_india,9,6,6,0
472,2012,2,williams,8,7,7,0
473,2012,2,toro_rosso,6,8,8,0
474,2012,2,mercedes,1,9,9,0
475,2012,2,marussia,0,10,10,0
476,2012,2,caterham,0,11,11,0
477,2012,2,hrt,0,12,12,0
478,2012,3,mclaren,88,1,1,1
479,2012,3,red_bull,64,2,2,0
